order_id,customer_id,order_date,order_status,payment_method,payment_status
1,727,2025-09-18,Completed,Debit Card,Pending
2,612,2026-03-20,Completed,Credit Card,Paid
3,990,2025-09-14,Shipped,Net Banking,Failed
4,41,2025-01-12,Pending,Net Banking,Pending
5,502,2025-06-20,Shipped,Credit Card,Paid
6,701,2025-06-27,Cancelled,Debit Card,Failed
7,242,2025-06-04,Cancelled,UPI,Failed
8,900,2025-05-12,Shipped,UPI,Failed
9,287,2026-05-01,Pending,Credit Card,Pending
10,403,2026-04-05,Pending,UPI,Failed
11,534,2025-07-15,Pending,Cash,Paid
12,157,2025-10-21,Shipped,Debit Card,Failed
13,460,2025-06-18,Pending,Credit Card,Failed
14,595,2025-03-12,Pending,Credit Card,Pending
15,723,2025-12-19,Pending,Cash,Paid
16,956,2025-12-02,Pending,Debit Card,Paid
17,546,2025-10-13,Completed,Credit Card,Pending
18,901,2026-03-06,Pending,UPI,Pending
19,997,2026-03-27,Shipped,Cash,Pending
20,764,2025-08-15,Cancelled,Credit Card,Paid
21,135,2025-02-24,Pending,UPI,Failed
22,274,2025-11-12,Pending,Net Banking,Paid
23,704,2025-04-29,Completed,Debit Card,Paid
24,799,2025-12-19,Shipped,Credit Card,Failed
25,620,2026-03-10,Shipped,Debit Card,Paid
26,397,2026-03-13,Shipped,Cash,Paid
27,198,2025-03-25,Pending,UPI,Pending
28,993,2026-01-27,Completed,Debit Card,Pending
29,761,2025-04-24,Pending,Credit Card,Paid
30,950,2025-04-01,Shipped,Net Banking,Pending
31,333,2025-12-19,Shipped,Credit Card,Pending
32,795,2025-07-27,Completed,Net Banking,Failed
33,390,2026-02-27,Cancelled,Cash,Failed
34,761,2026-04-26,Completed,Net Banking,Paid
35,468,2025-08-20,Completed,Credit Card,Failed
36,406,2025-10-03,Completed,Net Banking,Pending
37,784,2025-09-22,Completed,Credit Card,Pending
38,408,2025-08-14,Cancelled,Debit Card,Pending
39,433,2025-03-27,Cancelled,Net Banking,Paid
40,530,2025-12-20,Pending,Cash,Failed
41,93,2025-08-20,Completed,Credit Card,Failed
42,916,2026-04-26,Pending,Cash,Pending
43,462,2025-06-15,Completed,Credit Card,Pending
44,919,2025-10-30,Pending,Cash,Paid
45,332,2025-05-09,Pending,UPI,Paid
46,724,2025-02-28,Shipped,Debit Card,Paid
47,725,2025-09-26,Shipped,Net Banking,Failed
48,164,2026-05-02,Shipped,Net Banking,Pending
49,787,2025-01-23,Pending,Debit Card,Failed
50,676,2026-03-23,Pending,Credit Card,Paid
51,788,2025-04-02,Completed,Cash,Pending
52,748,2025-06-08,Shipped,Debit Card,Failed
53,121,2025-04-03,Pending,Credit Card,Paid
54,784,2025-11-15,Cancelled,UPI,Pending
55,876,2025-09-12,Shipped,Net Banking,Paid
56,904,2025-11-08,Shipped,Credit Card,Paid
57,676,2025-10-29,Shipped,Cash,Pending
58,82,2025-08-15,Completed,Credit Card,Failed
59,635,2025-05-23,Pending,UPI,Paid
60,57,2025-03-17,Cancelled,UPI,Paid
61,34,2026-03-14,Cancelled,Debit Card,Paid
62,112,2025-01-26,Shipped,Credit Card,Paid
63,292,2025-12-11,Pending,Cash,Failed
64,369,2025-10-24,Completed,UPI,Pending
65,378,2025-06-15,Shipped,UPI,Pending
66,564,2026-03-08,Completed,Debit Card,Pending
67,125,2025-03-10,Cancelled,Debit Card,Failed
68,538,2025-07-31,Pending,Credit Card,Failed
69,112,2025-01-30,Completed,Cash,Failed
70,620,2025-12-19,Cancelled,Cash,Failed
71,325,2026-03-11,Cancelled,Net Banking,Failed
72,363,2025-11-16,Pending,Net Banking,Failed
73,533,2025-09-12,Shipped,Cash,Paid
74,625,2026-03-29,Pending,Debit Card,Paid
75,122,2025-01-01,Completed,Cash,Failed
76,121,2026-02-12,Pending,Net Banking,Pending
77,47,2025-07-31,Cancelled,Debit Card,Failed
