product_id,product_name,category_id,supplier_id,unit_price
1,USB Hub 1,5,3,34752.78
2,Hard Disk 2,3,1,28864.4
3,Office Chair 3,1,2,85455.22
4,SSD 4,2,2,64914.3
5,Headphones 5,2,3,65332.94
6,Router 6,1,1,47672.67
7,Monitor 7,2,5,80186.05
8,Keyboard 8,3,5,80606.01
9,Mouse 9,3,4,89600.56
10,Hard Disk 10,3,4,25573.87
11,Desk 11,3,5,82518.93
12,Office Chair 12,5,1,1231.08
13,Headphones 13,3,5,64910.54
14,USB Hub 14,3,3,68599.11
15,Desk 15,1,3,98841.92
16,Headphones 16,3,3,26484.12
17,Webcam 17,3,2,15417.96
18,SSD 18,2,1,80640.27
19,SSD 19,5,4,66222.77
20,Headphones 20,2,1,65712.36
21,Mouse 21,3,4,40757.59
22,Webcam 22,1,5,70952.86
23,USB Hub 23,2,3,72791.71
24,Keyboard 24,5,4,90699.39
25,Headphones 25,3,5,30369.39
26,Monitor 26,5,2,29731.51
27,Desk 27,2,3,72656.07
28,Router 28,2,3,65616.25
29,Keyboard 29,3,2,74548.89
30,Mouse 30,4,3,37482.4
31,USB Hub 31,3,4,85195.78
32,Desk 32,1,5,58241.15
33,USB Hub 33,1,4,88997.89
34,Router 34,1,4,53218.93
35,Office Chair 35,1,2,14167.84
36,Keyboard 36,3,4,98725.56
37,Tablet 37,4,2,31980.15
38,Webcam 38,2,1,49014.29
39,Headphones 39,2,3,63632.65
40,Laptop 40,4,3,21333.55
41,SSD 41,2,5,76566.13
42,Desk 42,1,2,61640.73
43,Headphones 43,4,4,43188.03
44,Desk 44,4,1,4253.67
45,Keyboard 45,3,1,89254.64
46,SSD 46,5,2,2282.65
47,Laptop 47,2,2,69505.71
48,Printer 48,3,2,10719.47
49,Router 49,5,3,17118.51
50,Hard Disk 50,1,3,94872.11
51,Desk 51,5,5,52649.71
52,Office Chair 52,2,3,99615.82
53,Desk 53,3,2,16905.91
54,Tablet 54,4,1,23227.62
55,Webcam 55,2,2,73540.62
56,USB Hub 56,5,2,12754.62
57,Webcam 57,1,4,87716.14
58,Mouse 58,5,5,5334.4
59,Laptop 59,1,1,5299.39
60,Desktop 60,4,4,38335.25
61,Router 61,3,4,70335.89
62,Keyboard 62,1,3,42376.71
63,Desktop 63,5,3,62468.38
64,Webcam 64,2,4,83149.95
65,Desktop 65,5,5,12214.59
66,Desktop 66,1,4,20265.34
67,Keyboard 67,3,5,97325.41
68,Printer 68,4,3,16457.17
69,Router 69,4,2,68976.29
70,Desk 70,3,2,772.43
71,Headphones 71,1,1,83605.6
72,Headphones 72,4,2,94969.88
73,SSD 73,5,1,72494.58
74,Desktop 74,3,2,45946.75
75,Mouse 75,3,4,5482.98
76,Hard Disk 76,2,1,85298.74
77,Printer 77,3,4,73984.75
78,Desktop 78,1,1,85273.87
79,Headphones 79,2,3,36073.98
80,Desk 80,5,3,87908.32
81,Desktop 81,3,3,18695.51
82,Office Chair 82,4,4,27547.39
83,Office Chair 83,4,4,65060.23
84,SSD 84,2,1,13684.9
85,Webcam 85,1,2,10819.45
86,Tablet 86,5,4,80325.35
87,Headphones 87,4,2,61326.65
88,SSD 88,3,5,3367.21
89,Headphones 89,2,4,92079.6
90,Desktop 90,4,4,5074.25
91,Mouse 91,3,1,70604.53
92,Headphones 92,5,5,72515.47
93,Keyboard 93,3,5,52548.77
94,Webcam 94,5,1,43568.37
95,Webcam 95,2,4,34902.07
96,Headphones 96,4,2,83983.79
97,Router 97,5,1,1658.66
98,Tablet 98,2,5,84960.13
99,Hard Disk 99,4,2,7949.09
100,Desk 100,3,2,33424.04
101,Mouse 101,1,5,22659.3
102,Headphones 102,4,4,81801.78
103,Desktop 103,4,4,80225.5
104,Desk 104,1,4,44983.28
105,Desktop 105,4,1,10713.01
106,Office Chair 106,1,5,55135.33
107,Hard Disk 107,1,5,96335.54
108,Headphones 108,3,5,56452.09
109,Headphones 109,4,3,36652.58
110,Laptop 110,2,4,33531.28
111,SSD 111,5,5,47576.8
112,Headphones 112,3,4,11845.32
113,SSD 113,2,1,34465.03
114,Hard Disk 114,3,5,52437.52
115,Webcam 115,1,1,89739.27
116,Desk 116,2,4,11142.67
117,USB Hub 117,2,2,12514.21
118,Hard Disk 118,4,2,45976.08
119,SSD 119,2,3,11222.69
120,Office Chair 120,1,5,12760.31
121,Tablet 121,4,4,66016.44
122,Router 122,2,4,931.59
123,Webcam 123,1,5,93563.17
124,Hard Disk 124,5,4,92474.9
125,SSD 125,2,5,17778.2
126,Hard Disk 126,2,1,39046.86
127,USB Hub 127,5,3,50658.96
128,Office Chair 128,4,5,91633.07
129,SSD 129,2,3,40088.06
130,Printer 130,3,4,80577.28
131,Monitor 131,4,5,70151.42
132,Webcam 132,5,3,84385.91
133,Router 133,3,5,63442.04
134,Keyboard 134,2,5,71581.26
135,Headphones 135,3,2,98142.88
136,Headphones 136,2,5,54477.9
137,Headphones 137,3,1,76197.11
138,Router 138,4,5,57278.5
139,Headphones 139,4,5,28949.83
140,Hard Disk 140,4,1,52511.63
141,Laptop 141,4,2,5779.97
142,Laptop 142,2,3,75143.41
143,Monitor 143,3,3,15069.62
144,Laptop 144,3,2,75482.6
145,Laptop 145,3,4,10696.76
146,Hard Disk 146,5,2,74370.07
147,Router 147,4,2,51336.77
148,SSD 148,3,1,92685.24
149,Office Chair 149,4,3,96600.4
150,Laptop 150,1,3,20707.18
151,Hard Disk 151,4,2,91192.89
152,Webcam 152,3,5,54888.21
153,USB Hub 153,2,2,29770.68
154,Monitor 154,1,2,96266.29
155,Webcam 155,5,1,38031.22
156,Office Chair 156,3,5,26791.84
157,Monitor 157,5,3,1061.69
158,Desk 158,2,1,15793.49
159,Printer 159,5,1,77479.26
160,Headphones 160,5,3,49309.82
161,USB Hub 161,5,3,7751.64
162,Webcam 162,3,5,22386.22
163,Monitor 163,5,1,78732.69
164,Monitor 164,4,5,53935.08
165,Desktop 165,3,2,88397.98
166,Headphones 166,3,3,36399.38
167,Keyboard 167,5,5,47748.29
168,Router 168,1,1,67059.38
169,Desk 169,2,5,91901.43
170,Keyboard 170,1,3,38446.57
171,SSD 171,1,4,26030.76
172,Webcam 172,3,1,91177.92
173,Hard Disk 173,3,5,80380.27
174,Desk 174,4,1,29995.18
175,Headphones 175,2,3,51632.52
176,Desktop 176,2,5,53553.98
177,Headphones 177,1,2,67198.35
178,SSD 178,2,4,83648.68
179,Keyboard 179,5,4,64832.84
180,Desktop 180,2,1,46192.91
181,Printer 181,1,1,7788.18
182,Monitor 182,3,5,7508.99
183,Hard Disk 183,2,3,41059.46
184,Desk 184,4,4,31982.22
185,Office Chair 185,1,5,1086.94
186,Webcam 186,5,1,75718.08
187,USB Hub 187,1,1,36091.16
188,Router 188,1,3,78795.74
189,Mouse 189,5,1,28510.99
190,Tablet 190,4,4,39813.77
191,Headphones 191,1,4,16054.19
192,Keyboard 192,2,4,79778.66
193,Hard Disk 193,5,3,96033.36
194,Monitor 194,3,3,95760.47
195,Laptop 195,5,5,14566.7
196,Laptop 196,1,5,59867.16
197,Router 197,5,1,30816.77
198,Webcam 198,3,2,41559.12
199,Headphones 199,5,2,16514.96
200,Keyboard 200,5,3,19835.46
201,Monitor 201,5,1,85213.08
202,Tablet 202,5,4,64645.11
203,Desktop 203,3,1,25443.42
204,Keyboard 204,5,4,95178.22
205,Printer 205,2,2,10454.48
206,USB Hub 206,1,2,32119.7
207,Desk 207,3,5,66112.51
208,Webcam 208,5,2,56772.42
209,Printer 209,3,4,17279.63
210,Printer 210,2,2,71363.81
211,Headphones 211,4,3,84090.95
212,Monitor 212,3,4,46553.41
213,Printer 213,3,4,55391.35
214,Monitor 214,5,1,84258.4
215,Hard Disk 215,2,5,20044.98
216,Webcam 216,1,1,89264.47
217,Hard Disk 217,5,1,81357.92
218,USB Hub 218,4,5,21669.69
219,Laptop 219,5,3,54575.2
220,Router 220,4,2,36898.95
221,Keyboard 221,5,3,13821.19
222,Router 222,5,1,39980.12
223,Router 223,1,2,84874.19
224,SSD 224,5,2,75842.0
225,Monitor 225,4,2,18324.95
226,USB Hub 226,2,4,93947.94
227,Laptop 227,2,4,23559.12
228,Mouse 228,3,2,4759.44
229,Keyboard 229,5,3,39115.26
230,Tablet 230,4,1,4470.52
231,Headphones 231,3,1,70521.76
232,Router 232,3,3,58073.83
233,USB Hub 233,2,4,65540.69
234,Printer 234,5,1,51907.96
235,Office Chair 235,2,5,40881.3
236,Hard Disk 236,3,4,79369.42
237,Tablet 237,5,1,50432.78
238,Monitor 238,4,2,23384.08
239,Router 239,3,2,15448.92
240,Monitor 240,3,5,71871.62
241,Desktop 241,2,4,81211.68
242,Webcam 242,1,4,67685.33
243,Desk 243,2,5,16544.0
244,Hard Disk 244,4,1,24745.2
245,Monitor 245,5,5,16532.35
246,Headphones 246,5,1,89134.37
247,Monitor 247,1,2,26196.83
248,Monitor 248,5,4,60136.07
249,USB Hub 249,1,3,94751.76
250,Keyboard 250,4,5,99281.19
251,Hard Disk 251,4,2,22326.7
252,Office Chair 252,5,2,79564.3
253,Hard Disk 253,2,5,66135.05
254,Mouse 254,2,3,92274.02
255,USB Hub 255,5,1,23366.47
256,Office Chair 256,2,1,2147.98
257,Router 257,5,4,82738.16
258,USB Hub 258,1,2,47848.98
259,USB Hub 259,5,1,87836.39
260,Router 260,5,1,9772.4
261,Headphones 261,2,5,54158.96
262,Laptop 262,4,5,42358.06
263,Hard Disk 263,1,5,43181.15
264,SSD 264,4,4,35376.52
265,SSD 265,5,1,42836.19
266,Mouse 266,4,2,91053.49
267,Desktop 267,3,5,87738.25
268,Office Chair 268,3,2,1044.21
269,Webcam 269,1,5,52492.79
270,Router 270,1,4,65627.34
271,Webcam 271,3,4,36545.84
272,Monitor 272,4,5,25736.46
273,Hard Disk 273,5,4,56684.69
274,USB Hub 274,3,4,75619.7
275,Office Chair 275,5,5,48505.54
276,Printer 276,5,5,48634.14
277,Mouse 277,5,3,77532.35
278,Office Chair 278,2,1,74907.51
279,Desk 279,2,1,21838.59
280,Office Chair 280,3,5,61595.52
281,Headphones 281,1,2,39215.82
282,Headphones 282,1,1,82413.92
283,Desk 283,5,4,9270.0
284,Mouse 284,2,3,8463.95
285,Laptop 285,4,4,61589.58
286,Router 286,3,5,6217.57
287,SSD 287,2,4,44177.72
288,Keyboard 288,5,3,19877.28
289,SSD 289,5,5,51823.46
290,Keyboard 290,5,2,67565.43
291,Printer 291,2,1,97576.77
292,Desktop 292,3,4,35636.2
