order_item_id,order_id,product_id,quantity,unit_price,total_amount
1,1,72,7,94969.88,664789.16
2,1,445,1,50716.93,50716.93
3,1,415,2,69855.26,139710.52
4,2,127,7,50658.96,354612.72
5,2,251,4,22326.7,89306.8
6,2,385,2,19185.05,38370.1
7,2,66,10,20265.34,202653.4
8,3,377,7,19262.81,134839.67
9,3,464,10,38463.84,384638.4
10,3,330,6,21447.98,128687.88
11,4,299,3,29778.06,89334.18
12,4,389,8,22110.21,176881.68
13,4,81,8,18695.51,149564.08
14,5,436,2,79527.83,159055.66
15,5,451,5,96184.35,480921.75
16,5,135,10,98142.88,981428.8
17,5,416,1,54590.24,54590.24
18,6,111,9,47576.8,428191.2
19,7,2,6,28864.4,173186.4
20,7,499,6,2398.29,14389.74
21,7,92,2,72515.47,145030.94
22,8,426,5,64269.94,321349.7
23,8,480,5,68631.43,343157.15
24,9,449,8,24451.89,195615.12
25,9,282,3,82413.92,247241.76
26,9,205,3,10454.48,31363.44
27,10,294,5,55184.47,275922.35
28,10,1,8,34752.78,278022.24
29,11,490,2,45281.13,90562.26
30,11,120,5,12760.31,63801.55
31,12,142,2,75143.41,150286.82
32,12,194,6,95760.47,574562.82
33,12,375,8,76703.99,613631.92
34,13,298,3,50870.69,152612.07
35,13,425,6,15836.09,95016.54
36,13,102,2,81801.78,163603.56
37,14,134,10,71581.26,715812.6
38,15,270,6,65627.34,393764.04
39,15,265,4,42836.19,171344.76
40,15,239,2,15448.92,30897.84
41,15,302,3,77111.74,231335.22
42,16,149,1,96600.4,96600.4
43,17,147,8,51336.77,410694.16
44,17,125,7,17778.2,124447.4
45,17,226,7,93947.94,657635.58
46,18,264,4,35376.52,141506.08
47,19,358,9,6847.34,61626.06
48,20,258,2,47848.98,95697.96
49,20,27,9,72656.07,653904.63
50,20,31,8,85195.78,681566.24
51,21,44,4,4253.67,17014.68
52,21,160,10,49309.82,493098.2
53,22,167,2,47748.29,95496.58
54,23,129,4,40088.06,160352.24
55,24,247,2,26196.83,52393.66
56,24,274,1,75619.7,75619.7
57,24,212,8,46553.41,372427.28
58,24,88,9,3367.21,30304.89
59,25,281,8,39215.82,313726.56
60,26,24,10,90699.39,906993.9
61,27,324,5,97662.47,488312.35
62,27,269,3,52492.79,157478.37
63,27,164,6,53935.08,323610.48
64,27,217,8,81357.92,650863.36
65,28,209,9,17279.63,155516.67
66,29,74,7,45946.75,321627.25
67,30,126,2,39046.86,78093.72
68,30,474,6,74658.85,447953.1
69,31,92,4,72515.47,290061.88
70,31,362,1,23320.92,23320.92
71,31,381,7,28825.35,201777.45
72,32,28,3,65616.25,196848.75
73,33,28,9,65616.25,590546.25
74,33,95,7,34902.07,244314.49
75,34,332,6,57355.27,344131.62
76,34,354,1,74915.6,74915.6
77,34,483,6,77083.29,462499.74
78,35,87,2,61326.65,122653.3
